"Date","Price","Open","High","Low","Vol.","Change %"
"19/02/2025","22,175.60","22,121.73","22,222.61","22,045.75","314.27M","0.05%"
"18/02/2025","22,164.61","22,176.01","22,191.37","22,029.58","373.80M","0.23%"
"14/02/2025","22,114.69","22,038.61","22,139.43","22,010.35","333.82M","0.38%"
"13/02/2025","22,030.71","21,786.16","22,038.15","21,758.04","368.49M","1.43%"
"12/02/2025","21,719.26","21,475.41","21,745.66","21,454.19","308.36M","0.12%"
"11/02/2025","21,693.52","21,629.11","21,776.25","21,625.51","283.61M","-0.29%"
"10/02/2025","21,756.73","21,670.06","21,793.13","21,645.17","303.47M","1.24%"
"07/02/2025","21,491.31","21,776.28","21,869.32","21,465.46","323.70M","-1.30%"
"06/02/2025","21,774.06","21,674.17","21,776.08","21,618.25","317.41M","0.54%"
"05/02/2025","21,658.16","21,453.87","21,662.98","21,408.64","365.89M","0.42%"
"04/02/2025","21,566.92","21,319.58","21,582.40","21,308.24","350.05M","1.26%"
"03/02/2025","21,297.58","21,084.64","21,406.58","21,004.35","387.17M","-0.84%"
"31/01/2025","21,478.05","21,661.56","21,846.01","21,425.79","414.35M","-0.14%"
"30/01/2025","21,508.12","21,519.81","21,623.45","21,308.69","368.19M","0.45%"
"29/01/2025","21,411.46","21,473.01","21,477.88","21,251.80","322.12M","-0.24%"
"28/01/2025","21,463.04","21,186.08","21,500.73","21,043.13","465.81M","1.59%"
"27/01/2025","21,127.28","21,000.17","21,292.54","20,974.90","631.40M","-2.97%"
"24/01/2025","21,774.01","21,915.48","21,945.48","21,709.06","305.05M","-0.58%"
"23/01/2025","21,900.93","21,737.24","21,900.93","21,722.04","269.49M","0.22%"
"22/01/2025","21,853.00","21,756.23","21,943.04","21,756.23","330.66M","1.33%"
"21/01/2025","21,566.51","21,557.82","21,620.23","21,379.06","364.59M","0.58%"
"17/01/2025","21,441.15","21,461.90","21,515.76","21,334.63","435.58M","1.66%"
"16/01/2025","21,091.25","21,324.97","21,330.59","21,087.85","287.33M","-0.69%"
"15/01/2025","21,237.85","21,067.80","21,286.01","21,024.27","326.10M","2.31%"
"14/01/2025","20,757.41","20,896.36","20,969.52","20,622.72","265.21M","-0.13%"
"13/01/2025","20,784.72","20,593.65","20,797.10","20,538.33","314.08M","-0.30%"
"10/01/2025","20,847.58","21,012.29","21,015.51","20,718.78","359.13M","-1.57%"
"08/01/2025","21,180.96","21,156.76","21,242.61","20,992.08","296.56M","0.04%"
"07/01/2025","21,173.04","21,619.89","21,621.25","21,101.09","361.49M","-1.79%"
"06/01/2025","21,559.50","21,551.18","21,703.49","21,462.52","364.55M","1.09%"
"03/01/2025","21,326.16","21,096.79","21,359.63","21,075.89","281.52M","1.67%"
"02/01/2025","20,975.62","21,120.05","21,236.59","20,800.50","270.86M","-0.17%"
"31/12/2024","21,012.17","21,256.02","21,276.14","20,979.52","242.35M","-0.87%"
"30/12/2024","21,197.09","21,189.10","21,346.06","21,046.63","271.33M","-1.28%"
"27/12/2024","21,473.02","21,633.10","21,642.26","21,292.19","277.85M","-1.36%"
"26/12/2024","21,768.31","21,733.98","21,837.70","21,645.62","178.00M","-0.13%"
"24/12/2024","21,797.65","21,564.37","21,797.65","21,558.97","160.06M","1.37%"
"23/12/2024","21,503.17","21,364.26","21,510.09","21,224.27","282.94M","1.01%"
"20/12/2024","21,289.15","20,939.64","21,540.32","20,913.72","1.08B","0.85%"
"19/12/2024","21,110.51","21,358.79","21,413.74","21,093.46","392.61M","-0.47%"
"18/12/2024","21,209.31","21,979.53","22,038.08","21,146.83","456.45M","-3.60%"
"17/12/2024","22,001.08","22,003.64","22,062.00","21,921.21","398.54M","-0.43%"
"16/12/2024","22,096.66","21,891.36","22,133.22","21,879.74","404.45M","1.45%"
"13/12/2024","21,780.25","21,789.65","21,886.74","21,646.09","321.85M","0.76%"
"12/12/2024","21,615.27","21,652.85","21,715.83","21,596.66","279.71M","-0.68%"
"11/12/2024","21,763.98","21,540.38","21,784.71","21,533.89","332.02M","1.85%"
"10/12/2024","21,368.18","21,492.51","21,567.02","21,313.27","337.05M","-0.34%"
"09/12/2024","21,440.82","21,573.76","21,609.99","21,400.77","344.44M","-0.84%"
"06/12/2024","21,622.25","21,458.58","21,626.31","21,449.62","298.62M","0.92%"
"05/12/2024","21,425.22","21,488.52","21,517.49","21,411.53","301.73M","-0.31%"
"04/12/2024","21,492.36","21,361.81","21,498.44","21,340.84","323.35M","1.24%"
"03/12/2024","21,229.32","21,106.51","21,235.79","21,081.80","297.66M","0.31%"
"02/12/2024","21,164.60","20,971.76","21,201.03","20,971.76","351.01M","1.12%"
"29/11/2024","20,930.37","20,771.02","20,956.31","20,751.96","195.03M","0.90%"
"27/11/2024","20,744.49","20,852.43","20,853.08","20,615.42","268.33M","-0.85%"
