"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2025","529.25","527.22","530.36","526.75","20.85M","1.21%"
"07/02/2025","522.92","530.14","532.10","522.19","29.61M","-1.26%"
"06/02/2025","529.60","527.36","529.81","525.74","19.43M","0.52%"
"05/02/2025","526.85","521.82","527.01","520.62","21.13M","0.45%"
"04/02/2025","524.47","518.63","525.11","518.23","26.05M","1.23%"
"03/02/2025","518.11","513.47","520.85","511.05","40.58M","-0.80%"
"31/01/2025","522.29","526.92","531.52","521.19","38.85M","-0.15%"
"30/01/2025","523.05","523.71","526.09","518.21","27.43M","0.43%"
"29/01/2025","520.83","522.46","522.59","516.90","26.65M","-0.19%"
"28/01/2025","521.81","515.22","523.00","511.78","33.19M","1.48%"
"27/01/2025","514.21","511.00","517.99","510.15","60.77M","-2.91%"
"24/01/2025","529.63","533.02","533.79","528.15","19.88M","-0.57%"
"23/01/2025","532.64","529.04","532.76","528.45","23.10M","0.21%"
"22/01/2025","531.51","529.57","533.82","529.26","33.59M","1.28%"
"21/01/2025","524.80","524.48","525.97","520.06","23.63M","0.59%"
"17/01/2025","521.74","522.85","524.07","513.11","51.84M","1.69%"
"16/01/2025","513.08","518.98","519.06","512.95","28.23M","-0.70%"
"15/01/2025","516.70","513.03","517.85","511.46","34.96M","2.30%"
"14/01/2025","505.08","508.74","510.15","501.59","33.74M","-0.09%"
"13/01/2025","505.56","501.20","506.02","499.70","31.69M","-0.32%"
"10/01/2025","507.19","511.48","511.58","503.92","40.53M","-1.57%"
"08/01/2025","515.27","515.08","516.92","510.57","30.78M","0.02%"
"07/01/2025","515.18","525.59","525.99","513.28","36.69M","-1.78%"
"06/01/2025","524.54","524.02","527.92","522.03","36.11M","1.15%"
"03/01/2025","518.58","513.35","519.65","512.53","29.06M","1.64%"
"02/01/2025","510.23","514.30","516.64","505.71","36.39M","-0.20%"
"31/12/2024","511.23","516.90","517.66","510.26","29.12M","-0.85%"
"30/12/2024","515.61","515.51","519.36","511.83","34.58M","-1.33%"
"27/12/2024","522.56","526.01","526.45","517.86","33.84M","-1.33%"
